prix,Kilométrage,Mise en circulation,Énergie,Boite vitesse,Puissance fiscale,Transmission,Carrosserie,Date de l'annonce,Gouvernorat,Marque,Modèle,Couleur extérieure,Couleur intérieure,Sellerie,Nombre de places,Nombre de portes,Cylindrée,ABS,Airbags frontaux,Airbags latéraux,Airbags rideaux,Alarme anti-intrusion,Anti-démarrage électronique,Anti-patinage,Contrôle de pression des pneus,Fixations ISOFIX,Pneumatiques runflat,Radiateur tropicalisé,Caméra de recul,Caméras 360,Coffre électrique,Jantes en alliage,Radar de recul,Peinture métallisée,Feux à LED,Phares au xénon,Phares Full LED,Antibrouillards,Lave Phares,Toit ouvrant,Toit panoramique,Vitres teintées,Accoudoir avant,Accoudoir arrière,Affichage tête haute,Autoradio,Autoradio CD,Autoradio CD/Mp3,Apple Carplay,Android Auto,Bluetooth,Boîte à gants réfrigérée,Chargeur CD,"Connectivité Aux, usb, iPod",Navigation,Palettes au volant,Sièges sport,Sièges chauffants,Sièges massants,Sièges ventilés,Sièges réglables en hauteur,Sièges électriques,Vitres teintées,Volant/levier de vitesse en cuir,Volant multi-fonctions,3 appuis têtes arrières,Volant réglable hauteur/profondeur,Volant chauffant,Instrumentation numérique,Allumage automatique des feux,Accès sans clé,Bouton Start & Stop,Climatisation,Climatisation automatique,Direction assistée,Détecteur de pluie,Fermeture centralisée,Ordinateur de bord,Régulateur de vitesse,Conduite semi-autonome,Rétroviseurs électriques,Rétroviseurs rabattables,Vitres électriques,Suspension pneumatique,Parkassist
39 500,0km,11.2024,Essence,Manuelle,4cv,Traction,Citadine,16.12.2024,Nabeul,Suzuki,Celerio,Blanc,Noir,Tissu,5,5,999cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49 500,153 000km,02.2015,Essence,Manuelle,5cv,Traction,Citadine,16.12.2024,Nabeul,Volkswagen,Golf 7,Blanc,Gris,Tissu,5,5,1198cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45 500,128 000km,03.2020,Diesel,Manuelle,5cv,Traction,Citadine,16.12.2024,Nabeul,Peugeot,208,Blanc,Noir,Tissu,5,5,1499cm³,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78 000,270 000km,02.2014,Diesel,Automatique,10cv,Traction,SUV/4x4,16.12.2024,Nabeul,Audi,Q5,Blanc,Noir,Alcantara,5,5,1998cm³,true,true,true,true,true,true,true,true,true,true,true,NA,NA,NA,true,true,true,true,NA,NA,true,true,NA,NA,true,true,true,NA,true,true,true,true,true,true,true,NA,true,NA,true,true,NA,NA,NA,NA,NA,true,true,true,true,true,NA,NA,NA,NA,NA,true,true,true,true,true,true,true,true,true,true,true,NA,NA
38 500,56 000km,02.2021,Essence,Manuelle,4cv,Traction,Citadine,16.12.2024,Nabeul,Citroën,C1,Rouge,Noir,Tissu,5,5,999cm³,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,NA,NA,true,NA,NA,NA,true,NA,NA,NA,true,true,true,NA,NA,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,true,true,NA,NA,true,true,true,true,true,true,true,true,true,true,true,true,true,true,NA,NA
79 000,148 000km,03.2020,Diesel,Automatique,6cv,Traction,SUV/4x4,16.12.2024,Nabeul,Peugeot,3008,Noir,Noir,Tissu,5,5,1489cm³,true,true,true,true,true,true,true,true,true,true,true,NA,NA,NA,true,true,true,true,NA,NA,true,NA,NA,NA,true,true,true,NA,true,true,true,NA,NA,NA,NA,true,NA,true,true,NA,NA,NA,NA,NA,NA,true,true,true,true,true,NA,NA,true,NA,NA,true,true,true,true,true,true,true,true,true,true,true,NA,NA
57 000,198 000km,02.2012,Diesel,Manuelle,7cv,Traction,SUV/4x4,16.12.2024,Nabeul,Volkswagen,Amarok,Blanc,Marron,Cuir intégral,5,5,1998cm³,true,true,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,NA,NA,NA,true,NA,NA,NA,true,true,true,NA,true,true,NA,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,NA,true,NA,true,NA,NA,NA,true,NA,NA,NA,NA
145 000,138 000km,06.2020,Diesel,Automatique,6cv,Traction,Berline,16.12.2024,Nabeul,Mercedes-Benz,CLA,Noir,Noir,Cuir intégral,5,5,1499cm³,true,true,true,true,true,true,true,true,true,true,true,true,NA,NA,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
98 000,119 000km,03.2019,Diesel,Automatique,7cv,Traction,SUV/4x4,16.12.2024,Nabeul,KIA,Sportage,Rouge,Noir,Cuir intégral,5,5,1599cm³,true,true,true,true,true,true,true,true,true,true,true,true,NA,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,NA,true,true,true,true,true,NA,NA,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true,true
52 000,48 000km,04.2022,Essence,Automatique,6cv,Traction,SUV/4x4,16.12.2024,Sfax,Chery,Tiggo 3X,Blanc,Noir,Similicuir,5,4,998cm³,true,true,NA,NA,true,NA,NA,true,true,NA,NA,true,NA,NA,true,true,true,NA,NA,NA,true,NA,true,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,true,NA,NA,true,NA,NA,NA,NA,NA,NA,NA,NA,NA,true,true,true,NA,NA,NA,true,true,true,true,NA,true,true,true,true,true,NA,true,true,true,NA,NA
